,Accuracy,Precision,Recall,F1 Score
Naive Bayes,0.758,0.8799186260181999,0.5454557475167031,0.5800783780552009
Logistic Regression,0.892,0.8976054689429613,0.8155335451778284,0.8490090505049842
Linear SVM,0.906,0.8826689137064503,0.8640915308420696,0.8729557084032457
